,Bronze,Gold,Silver,Age,Age,Age,ID,Age,Height,Weight,Year
1896,3.0,11.0,6.0,,,,,,,,
1900,9.0,19.0,10.0,,,,,,,,
1904,12.0,34.0,13.0,,,,,,,,
1906,16.0,29.0,24.0,,,,,,,,
1908,37.0,54.0,43.0,,,,,,,,
1912,33.0,58.0,39.0,,,,,,,,
1920,37.0,78.0,67.0,,,,,,,,
1924,47.0,72.0,66.0,,,,,,,,
1928,51.0,67.0,52.0,,,,,,,,
1932,59.0,66.0,51.0,,,,,,,,
1936,56.0,87.0,50.0,,,,,,,,
1948,57.0,80.0,58.0,,,,,,,,
1952,93.0,124.0,85.0,,,,,,,,
1956,197.0,198.0,195.0,,,,,,,,
1960,321.0,338.0,317.0,,,,,,,,
1964,389.0,397.0,390.0,,,,,,,,
1968,419.0,421.0,408.0,,,,,,,,
1972,477.0,471.0,453.0,,,,,,,,
1976,504.0,500.0,494.0,,,,,,,,
1980,529.0,520.0,523.0,,,,,,,,
1984,569.0,570.0,544.0,,,,,,,,
1988,624.0,606.0,597.0,,,,,,,,
1992,635.0,584.0,615.0,,,,,,,,
1994,111.0,105.0,108.0,,,,,,,,
1996,593.0,563.0,561.0,,,,,,,,
1998,149.0,144.0,144.0,,,,,,,,
2000,676.0,659.0,658.0,,,,,,,,
2002,159.0,161.0,157.0,,,,,,,,
2004,676.0,664.0,660.0,,,,,,,,
2006,175.0,176.0,175.0,,,,,,,,
2008,706.0,664.0,665.0,,,,,,,,
2010,170.0,173.0,172.0,,,,,,,,
2012,669.0,622.0,624.0,,,,,,,,
2014,190.0,190.0,190.0,,,,,,,,
2016,700.0,662.0,652.0,,,,,,,,
AFG,,,,23.0,4.0,21.0,,,,,
ALG,,,,24.266666666666666,10.0,23.0,,,,,
ANZ,,,,22.25,13.0,16.0,,,,,
ARG,,,,26.304545454545455,36.0,23.0,,,,,
ARM,,,,23.6,9.0,24.0,,,,,
AUS,,,,25.03150912106136,47.0,23.0,,,,,
AUT,,,,26.516483516483518,32.0,24.0,,,,,
AZE,,,,26.204545454545453,28.0,25.0,,,,,
BAH,,,,28.1,26.0,21.0,,,,,
BAR,,,,24.0,0.0,24.0,,,,,
BDI,,,,22.5,1.0,22.0,,,,,
BEL,,,,25.56179775280899,27.0,27.0,,,,,
BER,,,,25.0,0.0,25.0,,,,,
BLR,,,,25.862595419847327,28.0,24.0,,,,,
BOT,,,,18.0,0.0,18.0,,,,,
BRA,,,,25.86577181208054,29.0,22.0,,,,,
BRN,,,,26.0,13.0,19.0,,,,,
BUL,,,,24.704268292682926,34.0,25.0,,,,,
CAN,,,,25.70943396226415,48.0,24.0,,,,,
CHI,,,,24.36,13.0,22.0,,,,,
CHN,,,,23.21015228426396,30.0,24.0,,,,,
CIV,,,,21.333333333333332,2.0,22.0,,,,,
CMR,,,,21.944444444444443,16.0,19.0,,,,,
COL,,,,26.14814814814815,16.0,35.0,,,,,
CRC,,,,23.5,10.0,27.0,,,,,
CRO,,,,26.611510791366907,19.0,26.0,,,,,
CUB,,,,25.370558375634516,23.0,24.0,,,,,
CYP,,,,22.0,0.0,22.0,,,,,
CZE,,,,27.354166666666668,22.0,25.0,,,,,
DEN,,,,27.313725490196077,36.0,27.0,,,,,
DJI,,,,31.0,0.0,31.0,,,,,
DOM,,,,25.333333333333332,16.0,18.0,,,,,
ECU,,,,28.0,12.0,22.0,,,,,
EGY,,,,25.666666666666668,14.0,26.0,,,,,
ERI,,,,22.0,0.0,22.0,,,,,
ESP,,,,26.245939675174014,31.0,26.0,,,,,
EST,,,,29.735294117647058,20.0,29.0,,,,,
ETH,,,,25.547169811320753,21.0,22.0,,,,,
EUN,,,,24.221739130434784,24.0,23.0,,,,,
FIJ,,,,25.692307692307693,8.0,28.0,,,,,
FIN,,,,26.888121546961326,39.0,28.0,,,,,
FRA,,,,26.37082066869301,42.0,23.0,,,,,
FRG,,,,26.07388316151203,46.0,24.0,,,,,
GAB,,,,23.0,0.0,23.0,,,,,
GBR,,,,26.76721629485936,43.0,23.0,,,,,
GDR,,,,23.127638190954773,26.0,21.0,,,,,
GEO,,,,26.0625,19.0,22.0,,,,,
GER,,,,26.20223325062035,43.0,25.0,,,,,
GHA,,,,21.0,13.0,15.0,,,,,
GRE,,,,25.396039603960396,21.0,27.0,,,,,
GRN,,,,21.0,4.0,19.0,,,,,
GUA,,,,21.0,0.0,21.0,,,,,
GUY,,,,22.0,0.0,22.0,,,,,
HAI,,,,27.0,0.0,27.0,,,,,
HKG,,,,26.75,4.0,25.0,,,,,
HUN,,,,26.152970922882428,36.0,24.0,,,,,
INA,,,,24.342105263157894,16.0,23.0,,,,,
IND,,,,25.583333333333332,17.0,29.0,,,,,
IOA,,,,34.6,32.0,26.0,,,,,
IRI,,,,25.508474576271187,14.0,26.0,,,,,
IRL,,,,24.85185185185185,12.0,26.0,,,,,
ISL,,,,27.058823529411764,13.0,28.0,,,,,
ISR,,,,24.714285714285715,8.0,25.0,,,,,
ISV,,,,27.0,0.0,27.0,,,,,
ITA,,,,26.700943396226414,34.0,21.0,,,,,
JAM,,,,25.844155844155843,22.0,25.0,,,,,
JOR,,,,20.0,0.0,20.0,,,,,
JPN,,,,24.709371293001187,34.0,25.0,,,,,
KAZ,,,,25.513513513513512,19.0,23.0,,,,,
KEN,,,,25.23,19.0,26.0,,,,,
KGZ,,,,23.0,2.0,22.0,,,,,
KOR,,,,23.511586452762923,23.0,22.0,,,,,
KOS,,,,25.0,0.0,25.0,,,,,
KSA,,,,32.6,19.0,23.0,,,,,
KUW,,,,39.0,12.0,33.0,,,,,
LAT,,,,27.5,24.0,25.0,,,,,
LIB,,,,28.0,14.0,21.0,,,,,
LIE,,,,23.375,11.0,23.0,,,,,
LTU,,,,27.065573770491802,22.0,24.0,,,,,
LUX,,,,27.0,3.0,28.0,,,,,
MAR,,,,26.391304347826086,16.0,25.0,,,,,
MAS,,,,27.0,15.0,28.0,,,,,
MDA,,,,26.125,14.0,23.0,,,,,
MEX,,,,25.289473684210527,30.0,22.0,,,,,
MGL,,,,24.8,10.0,25.0,,,,,
MKD,,,,26.0,0.0,26.0,,,,,
MNE,,,,25.714285714285715,18.0,25.0,,,,,
MOZ,,,,25.0,4.0,23.0,,,,,
MRI,,,,30.0,0.0,30.0,,,,,
NAM,,,,26.0,4.0,24.0,,,,,
NED,,,,26.01553672316384,31.0,27.0,,,,,
NGR,,,,22.322916666666668,14.0,22.0,,,,,
NIG,,,,21.0,0.0,21.0,,,,,
NOR,,,,26.861867704280154,32.0,28.0,,,,,
NZL,,,,27.071090047393366,39.0,25.0,,,,,
PAK,,,,25.093457943925234,21.0,22.0,,,,,
PAN,,,,25.666666666666668,1.0,26.0,,,,,
PAR,,,,23.823529411764707,13.0,23.0,,,,,
PER,,,,23.428571428571427,19.0,24.0,,,,,
PHI,,,,24.0,10.0,25.0,,,,,
POL,,,,25.983576642335766,28.0,25.0,,,,,
POR,,,,28.0,24.0,24.0,,,,,
PRK,,,,23.655172413793103,16.0,25.0,,,,,
PUR,,,,22.0,11.0,17.0,,,,,
QAT,,,,26.0,20.0,21.0,,,,,
ROU,,,,24.326633165829147,44.0,22.0,,,,,
RSA,,,,24.202898550724637,15.0,24.0,,,,,
RUS,,,,25.606701940035272,31.0,25.0,,,,,
SCG,,,,26.311475409836067,19.0,27.0,,,,,
SEN,,,,29.0,0.0,29.0,,,,,
SGP,,,,26.11111111111111,11.0,21.0,,,,,
SLO,,,,27.46808510638298,31.0,28.0,,,,,
SRB,,,,26.55294117647059,16.0,25.0,,,,,
SRI,,,,24.0,0.0,24.0,,,,,
SUD,,,,23.0,0.0,23.0,,,,,
SUI,,,,28.39710144927536,51.0,29.0,,,,,
SUR,,,,22.0,4.0,20.0,,,,,
SVK,,,,27.29787234042553,20.0,24.0,,,,,
SWE,,,,26.9281045751634,45.0,26.0,,,,,
SYR,,,,22.0,0.0,22.0,,,,,
TAN,,,,27.0,0.0,27.0,,,,,
TCH,,,,25.472,22.0,25.0,,,,,
TGA,,,,26.0,0.0,26.0,,,,,
THA,,,,23.366666666666667,16.0,24.0,,,,,
TJK,,,,27.0,15.0,19.0,,,,,
TOG,,,,27.0,0.0,27.0,,,,,
TPE,,,,24.142857142857142,14.0,23.0,,,,,
TTO,,,,23.724137931034484,11.0,23.0,,,,,
TUN,,,,27.083333333333332,14.0,28.0,,,,,
TUR,,,,25.257142857142856,17.0,26.0,,,,,
UAE,,,,34.5,11.0,29.0,,,,,
UGA,,,,22.857142857142858,9.0,23.0,,,,,
UKR,,,,25.34536082474227,24.0,26.0,,,,,
URS,,,,25.103294746215493,31.0,23.0,,,,,
URU,,,,23.541666666666668,11.0,20.0,,,,,
USA,,,,24.403832991101986,39.0,22.0,,,,,
UZB,,,,24.5,14.0,24.0,,,,,
VEN,,,,24.2,33.0,20.0,,,,,
VIE,,,,32.75,18.0,41.0,,,,,
WIF,,,,24.0,8.0,22.0,,,,,
YUG,,,,24.373831775700936,22.0,22.0,,,,,
ZAM,,,,27.0,0.0,27.0,,,,,
ZIM,,,,25.363636363636363,15.0,24.0,,,,,
count,,,,,,,30181.0,30181.0,30181.0,30181.0,30181.0
mean,,,,,,,70225.94960405554,25.42901162983334,177.64235777475895,73.75355356018687,1988.0059640170969
std,,,,,,,38839.720551296385,5.0496840882262415,10.924188435281636,15.004991914423377,22.718450568611992
min,,,,,,,16.0,13.0,136.0,28.0,1896.0
25%,,,,,,,37494.0,22.0,170.0,63.0,1976.0
50%,,,,,,,69771.0,25.0,178.0,73.0,1992.0
75%,,,,,,,104111.0,28.0,185.0,83.0,2006.0
max,,,,,,,135563.0,66.0,223.0,182.0,2016.0
